Dados de Registros de Patentes e Propriedade Intelectual;;;;;;;;;
ID;TITULO;SITUAÇÃO;DATA DO DEPÓSITO;DATA DE VALIDADE DA PATENTE;N° DE REGISTRO JUNTO AO INPI ;N° DA PATENTE / CÓDIGO;TITULARES;COTITULARES;INVENTOR
1;Compósito de matriz polimérica com a utilização de resíduos da extração e do beneficiamento de quartzito como carga mineral particulada e método de obtenção;Vigente;30/08/2019;30/08/2039;BR 10 2019 018155 9;BR 10 2019 018155 9;CETEM;CETEM;Mônica Castoldi Borlini Gadioli / Carlos Paulino Agrizzi / Francisco Wilson Hollanda Vidal / Carlos Maurício Fontes Vieira / Elaine Aparecida Santos Carvalho Costa
2;Processo de preparação de um material composto, material composto e artigo assim produzido;Vigente;29/08/2019;29/08/2039;BR 10 2019 017991 0;BR 10 2019 017991 0;CETEM;INT / UEZO;Márcia Gomes de Oliveira / Roberto Carlos da Conceição Ribeiro / Maiccon Martins Barros / daniele Cruz Bastos / Marcelo Ferreira Leão de Oliveira
3;Rebolos abrasivos para polimetno de rochas ornamentais com sílica oriunda da queima da palha de arroz;Vigente;26/03/2018;26/03/2038;BR 10 2018 006067 8;BR 10 2018 006067 8;CETEM;CETEM;Leonardo Luiz Lyrio da Silveira / Philipe Fernandes de Almeida / Wana Favero Gaburo Dorigo
4;Processo para obtenção de filamento a ser utilizado em impressora 3D constituído de PLA/ABS ou blenda contendo este polímeros reforçado com resíduos de corte e beneficiamento de rochas ornamentais;Vigente;22/11/2018;22/11/2038;BR 10 2018 074008 3;BR 10 2018 074008 3;CETEM;INT;Márcia Gomes de Oliveira / Roberto Carlos da Conceição Ribeiro / Rossana Mara da Silva Moreira Thire / Marceli Nascimetno da Conceição
5;Geração de Sacos Biodegradáveis Fixadores de Mudas de Plantas Contendo Resíduos de Rochas Ornamentais como Corretivos de pH de Solos Agrícolas;Vigente;30/10/2024;30/10/2044;BR 10 2024 022701 8;BR 10 2024 022701 8;CETEM;CETEM;Roberto Carlos da Conceição Ribeiro / Gabriel Terra Ramos de Oliveira / Marceli do Nascimento da Conceição / Mônica Monnerat Tardin Bastos
6;Processo de obtenção de dióxido de titânio puro;Vigente;23/07/2024;23/07/2044;BR 10 2024 015026 0;BR 10 2024 015026 0;CETEM;UFRJ;Andrey Linhares Bezerra de Oliveira / Manuel Castro Carneiro / Júlio Carlos Afonso / Gabriel Delier Santos da Silva / Arnaldo Alcover Neto / Paula Fernandes de Aguiar / Reiner Neumann
7;Geração de peças para recomposição de esculturas pétreas utilizando pasta de resíduos de rochas ornamentais por meio de impressão 3D em pasta;Vigente;10/06/2024;10/06/2044;BR 10 2024 011709 3;BR 10 2024 011709 3;CETEM;CETEM;Roberto Carlos da Conceição Ribeiro / Vitória da Silva Freitas / Marceli do Nascimento da Conceição / Rosana elisa Coppêde Silva / Michelle Teixeira Costta Cassiano dos Santos
8;Geração de corais artificiais utilizando pasta de resíduos minerais por meio de impressão 3D em pasta;Vigente;10/06/2024;10/06/2044;BR 10 2024 011707 7;BR 10 2024 011707 7;CETEM;CETEM;Roberto Carlos da Conceição Ribeiro / Manuella de Lima Ribeiro / Marceli do Nascimento da Conceição / Núria Fernândez Castro
9;Desenvolvimento de métodos para a determinação de arsênio total, dissolvido, particulado, volátil e iônico em petróleo, óleo de xisto e amostras correlatas;Vigente;09/11/2023;09/11/2043;BR 10 2023 023483 6 ;BR 10 2023 023483 6 ;CETEM;Petrobras;Arnaldo Alcover Neto / Lívia Gonçalves Leida Soares / Rainerio Escalfoni Júnior
10;Biorreator para tratamento de solo contaminado com hidrocarbonetos em fase semissólida;Vigente;19/10/2023;19/10/2043;BR 10 2023 021743 5;BR 10 2023 021743 5;CETEM;CETEM;Daniele Leonel da Rocha / Cláudia Duarte da Cunha / Eliana Flávia Camporese Sérvulo / Andrea Camardella de Lima Rizzo
11;Método para especificação da força de corte empregando simulador de desgaste de pérolas diamantadas;Vigente;11/07/2023;11/07/2043;BR 10 2023 013827 6;BR 10 2023 013827 6;CETEM;CETEM;Leonardo Luiz Lyrio da Silveira / Beatriz Carvalheira Moreira / Francisco Wilson Hollanda Vidal / Luan Lamon Machado
12;Geração de cápsulas de café biodegradáveis contendo resíduos de rochas ornamentais como fontes de fertilizantes de solos;Vigente;13/06/2023;13/06/2043;BR 10 2023 011665 5;BR 10 2023 011665 5;CETEM;UERJ;Roberto Carlos da Conceição Ribeiro / Marceli do Nascimento da Conceição / Mônica Monnerat Tardin Bastos / Riquelme Gomes da Silva / Daniele Cruz Bastos 
